text,salary_benefits,training_learning,management_leadership,culture_environment,office_workspace,work_hours_workload,career_growth_opportunities,process_policies,hr_recruitment,project_technology,job_security,general,company,reviewer_id
"móa công_ty dơ bỏ mẹ . t làm test xong gửi cho công_ty review , nó không reply 1 dòng . 5 ngày_sau , tới lúc set github repo sang private sau khi hỏi nó có feedback gì không thì 12 tiếng sau nó báo là reviewer của nó feedback là không matching . công_ty như quần_què làm mất thời_gian bỏ mẹ .",0,0,0,0,0,0,0,0,2,0,0,0,101 Digital,0d5427
"các bạn cẩn_thận , công_ty quỵt lương nhân_viên , lấy cớ đuổi . do không có pháp_lý ở vn nên cũng không làm gì được",2,0,0,0,0,0,0,2,0,0,2,0,101 Digital,6c65a0
"công_ty nợ lương , làm project web3 lùa gà",2,0,0,0,0,0,0,0,0,2,0,0,101 Digital,cf4ae4
"công_ty quá là vớ_vẩn , hr toàn làm_việc ngoài giờ_hành_chính , nói_chung là né ra .",0,0,0,0,0,2,0,0,2,0,0,2,101 Digital,57a2ea
"từ hr đến technical lead rất là ngáo đá , đánh_giá không cao , anh_em né ra nhé .",0,0,2,0,0,0,0,0,2,0,0,0,101 Digital,6ec654
"phòng qa bên mình được đầu_tư chỉn_chu , có tool , có quy_trình . các team phối_hợp tốt , không đổ lỗi nhau khi có sự_cố .",0,0,0,1,0,0,0,1,0,0,0,0,123 Website,c3ea79
"được training kỹ , giao dự_án thực_tế , có mentor kèm_sát . cảm_ơn công_ty đã tạo điều_kiện để mình học_hỏi và phát_triển .",0,1,0,0,0,0,1,0,0,1,0,0,123 Website,c6635b
"vào đây được giao việc rõ_ràng , không bị chồng_chéo hay mơ_hồ . project manager quản_lý ổn , sếp_fair và tôn_trọng nhân_viên .",0,0,1,0,0,0,0,1,0,0,0,0,123 Website,db7c31
"làm laravel ở đây sướng , cấu_trúc code rõ_ràng , quy_trình git chuẩn . dev được tự_chủ công_nghệ và được review code kỹ .",0,0,0,0,0,0,0,1,0,1,0,0,123 Website,1abc60
"công_ty có quy_trình hỗ_trợ khách rất rõ_ràng , không để khách chờ lâu . mình học được cách xử_lý tình_huống chuyên_nghiệp .",0,1,0,0,0,0,0,1,0,0,0,0,123 Website,01db29
"team design hoạt_động hiệu_quả , được tham_gia từ giai_đoạn lên wireframe tới prototype . công_ty tôn_trọng yếu_tố sáng_tạo .",0,0,0,1,0,0,0,1,0,0,0,0,123 Website,a8a874
"môi_trường ổn_áp , đồng_nghiệp vui_vẻ , có team support nhanh . dự_án phong_phú , có frontend , backend , cả mobile app luôn .",0,0,0,1,0,0,0,0,0,1,0,0,123 Website,d5ccd9
"chưa nơi nào mình thấy sếp lắng_nghe nhân_viên như ở đây . lương đúng hạn , công_việc ổn_định , không drama .",1,0,1,1,0,0,0,0,0,0,1,0,123 Website,e81004
"công_việc nhiều vãi_nồi , cũng được chỉ_bảo một_chút nhưng đa_số tự bơi , hay bị ăn_hành bởi khách_hàng luyện sự kiên_nhẫn , ai muốn làm các dự_án web simple thì vào luyện tay rồi ra cũng ôke .",0,2,0,0,0,2,0,0,0,3,0,0,123 Website,dd2258
"được sử_dụng công_cụ test chuyên_nghiệp , tài_liệu đầy_đủ , được tạo điều_kiện đề_xuất cải_tiến quy_trình .",0,0,0,0,0,0,0,1,0,1,0,0,123 Website,51aa27
"làm ở đây 3 năm rồi , chứng_kiến công_ty phát_triển rõ_rệt . điều mình thích nhất là công_ty tôn_trọng người làm thật .",0,0,0,1,0,0,0,0,0,0,0,1,123 Website,35034a
"đã gắn_bó công_ty 7 năm , môi_trường làm_việc thoải_mái , các bạn hòa đồng , giúp_đỡ lẫn nhau cùng phát_triển",0,0,0,1,0,0,0,0,0,0,0,0,123 Website,2a0aeb
"công_ty dev phải kiêm luôn hết nhiệm_vụ , nhân_viên thì chảnh chọe , bảo_hiểm thì không đóng báo nợ gần cả năm , sếp thì hứa và chỉ hứa , đi khám bệnh đưa bill thì kiếm cớ để không thanh_toán , khuyên anh_em né vội nhé , tuyển senior mà dưới 10 củ ai mà vô , vô làm thì như osin",2,0,2,2,0,2,0,0,0,0,0,0,123 Website,802e5e
"mình làm ở đây hơn 1 năm , chuyển công_ty vì lý_do cá_nhân nhưng vẫn đánh_giá cao môi_trường và anh_em dev ở đây .",0,0,0,1,0,0,0,0,0,0,0,0,123 Website,28800f
"brand guideline rõ_ràng , khách_hàng biết mình muốn gì . không bị sửa lòng_vòng . leader design có gu , góp_ý rất có tâm .",0,0,1,0,0,0,0,1,0,0,0,0,123 Website,e5a06f
"môi_trường làm_việc chuyên_nghiệp , anh_em hỗ_trợ nhau rất tốt . lãnh_đạo thân_thiện , định_hướng rõ_ràng . mình học được rất nhiều khi làm ở đây .",0,1,1,1,0,0,0,0,0,0,0,0,123 Website,9913cd
"mới ra trường đã may_mắn vào công_ty này . không_khí thân_thiện , học được rất nhiều về dự_án thực_tế và cách làm teamwork .",0,1,0,1,0,0,0,0,0,0,0,0,123 Website,d66d38
"công_ty chuyên về wordpress nên được học_hỏi nhiều trick hay , làm theme plugin chuyên_sâu . sếp định_hướng tốt , không micromanage .",0,1,1,0,0,0,0,0,0,3,0,0,123 Website,7833bb
"app android ios làm bằng flutter , maui nên tech khá mới . leader chịu chia_sẻ , mình nâng_cấp kỹ_năng khá nhanh khi làm ở đây .",0,1,1,0,0,0,0,0,0,1,0,0,123 Website,62da47
"mới vào 1 tuần nhưng cảm_nhận được sự thân_thiện và chuyên_nghiệp . onboarding kỹ_lưỡng , có mentor kèm cặp sát .",0,1,0,1,0,0,0,0,0,0,0,0,123 Website,a21e4d
"công_ty dùng . net bài_bản , code sạch , quy_trình rõ . có ci_cd , source quản_lý nghiêm_túc . hài_lòng về kỹ_thuật .",0,0,0,0,0,0,0,1,0,1,0,0,123 Website,7c9ae0
"làm content mà hiểu tech là điều hiếm có . nhờ teamwork với dev nên mình hiểu hơn về sản_phẩm , viết chuẩn seo hiệu_quả hơn .",0,1,0,1,0,0,0,0,0,0,0,0,123 Website,7cf1fe
"khách_hàng của công_ty đa_dạng , có trải_nghiệm làm nhiều ngành_nghề . công_ty áp_dụng quy_trình agile linh_hoạt và hiệu_quả .",0,0,0,0,0,0,0,1,0,1,0,0,123 Website,115ada
"sếp tin_tưởng team , giao cho mình quản_lý kỹ_thuật từ sớm . lâu rồi mới thấy một công_ty khơi_gợi được tinh_thần ownership như_vậy .",0,0,1,1,0,0,0,0,0,0,0,0,123 Website,f3422e
"công_ty làm_việc bài_bản , có quy_trình rõ_ràng , được training thường_xuyên . mình từ fresher lên được middle là nhờ môi_trường ở đây .",0,1,0,1,0,0,1,1,0,0,0,0,123 Website,567ed9
"không_khí làm_việc tích_cực , không drama . sếp không soi tiểu_tiết , miễn_đạt kết_quả tốt là được . rất tôn_trọng chuyên_môn .",0,0,1,1,0,0,0,0,0,0,0,0,123 Website,e2dd67
"mình làm remote vẫn được hỗ_trợ đầy_đủ , họp đều_đặn và update công_việc rõ_ràng . lương chuyển đúng hạn , môi_trường minh_bạch .",1,0,0,1,0,0,0,1,0,0,0,0,123 Website,76d019
"làm support nhưng không bị áp_kpi phi_lý . mình được training kỹ , có tài_liệu đầy_đủ . khách_hàng của công_ty cũng khá văn_minh .",0,1,0,1,0,0,0,1,0,0,0,0,123 Website,e12c34
